John Fell,Diary,Jan. 1-2 1779
Samuel Holten,Diary,Jan. 2 1779
John Jay,the Marquis de Lafayette,Jan. 3 1779
James Duane,George Clinton,Jan. 3 1779
James Duane,Philip Schuyler,Jan. 3 1779
William Floyd,George Clinton,Jan. 3 1779
William Whipple,Josiah Bartlett,Jan. 3 1779
John Fell,Diary,Jan. 3-4 1779
The Connecticut Delegates,Jonathan Trumbull,Jan. 4 1779
William Floyd,George Clinton,Jan. 5 1779
Henry Laurens,John Sullivan,Jan. 5 1779
Francis Lightfoot Lee,Richard Henry Lee,Jan. 5 1779
John Fell,Diary,Jan. 5 1779
Samuel Holten,Diary,Jan. 5,-10 1779
Samuel Adams,James Warren,Jan. 6 1779
Samuel Adams,Samuel Cooper,Jan. 6 1779
John Fell,Diary,Jan. 6 1779
Gouverneur Morris,Speech,Jan. 7 1779
Henry Laurens,Memorandum,Jan. 7 1779
Robert Morris,.Statement,Jan. 7 1779
John Fell,Diary,Jan. 7-8 1779
Samuel Holten,Diary,Jan. 8 1779
John Fell,Diary,Jan. 9 1779
Henry Laurens,Minutes of Proceedings,Jan. 9 1779
James Duane,George Washington,Jan. 9 1779
James Duane,George Washington,Jan. 10 1779
Thomas Burke,Richard Caswell,Jan. 10 1779
John Fell,Diary,Jan. 10-11 1779
The Committee of Conference,George Washington,Jan. 11 1779
Henry Laurens,Robert Morris,Jan. 11 1779
Robert Morris,Henry Laurens,Jan. 11 1779
William Carmichael,Mordecai Gist,Jan. 11 1779
Whitmill Hill,Richard Caswell,Jan. 12 1779
John Fell,Diary,Jan. 12-13 1779
John Jay,Conrad Alexandre Gerard,Jan. 13 1779
John Fell,Diary,Jan. 14 1779
John Jay,Philip Schuyler,Jan. 15 1779
John Jay,Stephen Ward,Jan. 15 1779
John Fell,Diary,Jan. 15-16 1779
John Penn,Jethro Sumner,Jan. 16 1779
William Whipple,John Langdon,Jan. 17 1779
Samuel Holten,Diary,Jan. 18 1779
John Fell,Diary,Jan. 18-19 1779
The Committee on the Commissary and Quartermaster's Departments,Thomas Johnsonjr.,Jan. 19 1779
Samuel Adams,Samuel Cooper,Jan. 19 1779
John Fell,Diary,Jan. 20 1779
William Whipple,John Langdon,Jan. 20 1779
Henry Laurens,John Gibson,Jan. 21 1779
John Fell,Diary,Jan. 21-23 1779
John Jay,a Committee of Congress,Jan. 23 1779
John Jay,Patrick Henry,Jan. 23 1779
William Ellery,John Sullivan,Jan. 24 1779
The Committee of Conference,George Washington,Jan. 24 1779
The Committee of Conference,Statement,Jan. 25 1779
John Fell,Diary,Jan. 25 1779
William Ellery,Christopher Ellery,Jan. 26 1779
Thomas Burke,Joseph Reed,Jan. 26 1779
John Fell,Diary,Jan. 26-28 1779
James Duane,George Washington,Jan. 28 1779
Thomas Burke,Joseph Reed,Jan. 28 1779
The Maryland Delegates,Thomas Johnsonjr.,Jan. 29 1779
John Fell,Diary,Jan. 29 1779
Henry Laurens,Rawlins Lowndes,Jan. 29 1779
The Committee of Foreign Affairs,William Bingham,Jan. 29 1779
John Fell,Diary,Jan. 30 1779
John Jay,George Washington,Jan. 31 1779
Henry Laurens,Rawlins Lowndes,Jan. 31 1779
A Committee of Congress,Proposed Letter,Gerard,Jan. 31 1779
John Fell,Diary,Feb. 1-2 1779
The Maryland Delegates,Thomas Johnsonjr.,Feb. 2 1779
Daniel Roberdeau,Joseph Reed,Feb. 3 1779
John Fell,Diary,Feb. 3-4 1779
Henry Laurens,Rawlins Lowndes,Feb. 4 1779
John Fell,Diary,Feb. 5-6 1779
Samuel Holten,Diary,Feb. 6 1779
Samuel Adams,John Winthrop,Feb. 6 1779
Samuel Adams,Jonathan Trumbull,Feb. 6 1779
The Board of War,Benjamin Lincoln,Feb. 6 1779
William Whipple,Josiah Bartlett,Feb. 7 1779
John Jay,George Clinton,Feb. 8 1779
John Fell,Diary,Feb. 8-9 1779
The Maryland Delegates,Thomas Johnsonjr.,Feb. 9 1779
John Henryjr.,to Thomas Johnsonjr.,Feb. 9 1779
Samuel Holten,Jeremiah Powell,Feb. 9 1779
John Fell,Diary,Feb. 10-11 1779
The Connecticut Delegates,Jonathan Trumbull,Feb. 11 1779
Richard Henry Lee,Arthur Lee,Feb. 11 1779
Henry Laurens,Rawlins Lowndes,Feb. 12 1779
The South Carolina Delegates,Rawlins Lowndes,Feb. 12 1779
John Fell,Diary,Feb. 12-13 1779
Daniel Roberdeau,Joseph Reed,Feb. 13 1779
William Carmichael,Thomas Harwood,Feb. 15 1779
William Henry Drayton,Memorandum of Conference with Gerard,Feb. 15 1779
Samuel Holten,Diary,Feb. 15 1779
John Fell,Diary,Feb. 15-16 1779
Daniel Roberdeau,John Bayard,Feb. 16 1779
William Whipple,John Langdon,Feb. 16 1779
John Fell,Diary,Feb. 17-18 1779
William Whipple,Josiah Bartlett,Feb. 18 1779
Charles Thomson,Joseph Reed,Feb. 19 1779
John Jay,George Clinton,Feb. 19 1779
The New York Delegates,George Clinton,Feb. 19 1779
John Fell,Diary,Feb. 19-20 1779
James Duane,George Clinton,Feb. 20 1779
Francis Lewis,George Clinton,Feb. 20 1779
James Duane,Philip Schuyler,Feb. 20 1779
Meriwether Smith,John Page,Feb. 21 1779
John Fell,Diary,Feb. 22-23 1779
John Jay,George Washington,Feb. 23 1779
John Fell,Diary,Feb. 24-27 81 1779
William Whipple,Josiah Bartlett,Feb. 28 1779
The Massachusetts Delegates,Jeremiah Powell,Mar. 1 1779
James Lovell,Horatio Gates,Mar. 1 1779
John Fell,Diary,Mar. 1-2 1779
The Rhode Island Delegates,William Greene,Mar. 2 1779
The Maryland Delegates,the Maryland Assembly,Mar. 2 1779
John Jay,George Washington,Mar. 3 1779
The Marine Committee,Patrick Henry,Mar. 3 1779
John Fell,Diary,Mar. 3-4 1779
William Paca,George Bryan,Mar. 4 1779
John Jay,Gustave d'Ugglaa,Mar. 5 1779
John Fell,Diary,Mar. 5-6 1779
Robert Morris,John Langdon,Mar. 6 1779
The New Hampshire Delegates,Meshech Weare,Mar. 7 1779
William Whipple,Josiah Bartlett,Mar. 7 1779
William Whipple,John Langdon,Mar. 7 1779
Francis Lewis,George Clinton,Mar. 8 1779
John Fell,Diary,Mar. 8-9 1779
William Paca,the Pennsylvania Council,Mar. 9 1779
The Rhode Island Delegates,William Green,Mar. 9 1779
Samuel Adams,Benjamin Austin,Mar. 9 1779
William Duer,Statement,Mar. 9 1779
John Fell,Diary,Mar. 10-11 1779
John Jay,the Several States,Mar. 12 1779
John Fell,Diary,Mar. 12-13 1779
Samuel Holten,Diary,Mar. 12-13 1779
A Committee of Congress,George Washington,Mar. 15 1779
John Fell,Diary,Mar. 15-16 1779
James Duane,George Washington,Mar. 16 1779
Richard Henry Lee,Baron de Knobelauch,Mar. 16 1779
The Rhode Island Delegates,William Greene,Mar. 16 1779
Henry Laurens,George Washington,Mar. 16 1779
John Fell,Diary,Mar. 17-20 1779
James Duane,Philip Schuyler,Mar. 20 1779
James Duane,Philip Schuyler,Mar. 20 1779
John Jay,Philip Schuyler,Mar. 21 1779
James Duane,George Clinton,Mar. 21 1779
Richard Henry Lee,Arthur Lee,Mar. 21 1779
Thomas Burke,George Washington,Mar. 22 1779
Thomas Burke,Benjamin Harrison ( ?),Mar. 22 1779
Gouverneur Morris,Proposed Motion,Mar. 22 1779
Henry Laurens,Proposed Amendment,Mar. 22 1779
John Fell,Diary,Mar. 22-23 1779
Samuel Adams,James Warren,Mar. 23 1779
James Lovell,Horatio Gates,Mar. 23 1779
William Whipple,Meshech Weare,Mar. 23 1779
Thomas Burke,George Washington,Mar. 24 1779
Samuel Holten,Diary,Mar. 24 1779
John Fell,Diary,Mar. 24-25 1779
John Fell,William Livingston,Mar. 25 1779
Henry Laurens,Notes of Debates,Mar. 26 1779
John Fell,Diary,Mar. 26-27 1779
William Whipple,Josiah Bartlett,Mar. 28 1779
William Whipple,John Langdon,Mar. 29 1779
Henry Laurens,Notes of Debates,Mar. 29 1779
Richard Henry Lee,John Page,Mar. 29 1779
John Fell,Diary,Mar. 29-30 1779
John Collins,William Greene,Mar. 30 1779
William Ellery,John Sullivan,Mar. 30 1779
The Maryland Delegates,Thomas Johnsonjr.,Mar. 30 1779
Charles Thomson,Memorandum,Mar. 30 1779
John Fell,Diary,Mar. 31 1779
The Board of Treasury,John Sullivan,Mar. 31 1779
A Committee of Congress,Jeremiah Wadsworth,Apr. 1 1779
The Massachusetts Delegates,Jeremiah Powell,Apr. 1 1779
John Fell,Diary,Apr. 1-2 1779
The North Carolina Delegates,the South Carohna Delegates,Apr. 2 1779
