Henry Laurens,Robert Morris,Jan. 1 1778
Charles Thomson,Robert Morris,Jan. 1 1778
James Lovell,Samuel Adams,Jan. 1 2 1778
Henry Laurens,the Navy Board,Jan. 2  1778
Nathaniel Folsom,Josiah Bartlett,Jan. 2  1778
John Witherspoon,Speech on the Convention with Burgoyne,Jan. 2  1778
John Penn,Jethro Sumner,Jan. 2  1778
Henry Laurens,Jonathan Trumbull jr.,Jan. 3  1778
Henry Laurens,Jean de Kermovan,Jan. 3  1778
Henry Laurens,Nicholas Cooke,Jan. 3  1778
William Ellery,Nicholas Cooke,Jan. 4  1778
Henry Laurens,William Heath,Jan. 5  1778
Henry Laurens,George Washington,Jan. 5  1778
Henry Laurens,Jonathan Trumbull,Jan. 5  1778
Jonathan Bayard Smith,Timothy Matlack,Jan. 5  1778
Francis Lewis,Pierre Van Cortlandt,Jan. 5  1778
Francis Lewis,Evert Bancker,Jan. 5  1778
Henry Laurens,Jean de Kermovan,Jan. 6  1778
Henry Laurens,Ephraim Blaine,Jan. 6  1778
Henry Laurens,William Heath,Jan. 8  1778
Henry Laurens,Notes on Burgoyne's Letter,Gates,Jan. 8  1778
Henry Laurens,John Laurens,Jan. 8  1778
Henry Laurens,Thomas Johnson jr.,Jan. 12  1778
Henry Laurens,Richard Caswell,Jan. 12  1778
Henry Laurens,Samuel and Robert Purviance,Jan. 12  1778
James Duane,Henry Laurens,Jan. 12  1778
Henry Laurens,the Marquis de Lafayette,Jan. 12  1778
James Lovell,Samuel Adams,Jan. 13  1778
Elbridge Gerry,George Washington,Jan. 13 1778
Henry Laurens,William Heath,Jan. 14  1778
Henry Laurens,George Clinton,Jan. 14  1778
Henry Laurens,John Laurens,Jan. 14  1778
William Ellery,Nicholas Cooke,Jan. 14  1778
Elbridge Gerry,Timothy Pickering,Jan. 15  1778
The Commercial Committee,Samuel and Robert Purviance,Jan. 15  1778
Abraham Clark,Lord Stirling,Jan. 15  1778
Daniel Roberdeau,Thomas Wharton jr.,Jan. 16  1778
Henry Laurens,George Washington,Jan. 19  1778
Jonathan Bayard Smith,Timothy Matlack,Jan. 19  1778
James Lovell,Samuel Adams,Jan. 20  1778
Daniel Roberdeau,John Adams,Jan. 21  1778
Henry Laurens,William Heath,Jan. 22  1778
Joseph Jones,George Washington,Jan. 22  1778
James Lovell,Samuel Adams,Jan. 22  1778
Henry Laurens,Baron de Kalb,Jan. 22  1778
Henry Laurens,the Marquis de Lafayette,Jan. 22  1778
Henry Laurens,John Laurens,Jan. 22  1778
Henry Laurens,Thomas Johnson jr.,Jan. 24  1778
Henry Laurens,John Laurens,Jan. 25  1778
Daniel Roberdeau,Thomas Wharton jr.,Jan. 26  1778
Gouverneur Morris,Henry Laurens,Jan. 26  1778
Henry Laurens,Isaac Motte,Jan. 26  1778
James Lovell,Joseph Trumbull,Jan. 27  1778
Daniel Roberdeau,George Brj'an,Jan. 27  1778
Francis Lewis,Thomas Johnson jr.,Jan. 27  1778
John Henry jr.,to Thomas Johnson jr.,Jan. 27  1778
Henry Laurens,George Washington,Jan. 27  1778
Henry Laurens,the Chevalier de Laneuville,Jan. 27  1778
John Witherspoon,William Churchill Houston,Jan. 27  1778
Henry Laurens,the Marquis de Lafayette,Jan. 28  1778
Henry Laurens,John Laurens,Jan. 28  1778
The Committee of Conference,Minutes,Jan. 28  1778
Daniel Roberdeau,Thomas Wharton jr.,Jan. 30  1778
Henry Laurens,John Rutledge,Jan. 30  1778
The Committee of Conference,Minutes,Jan. 30, 31 65 1778
Cornelius Harnett,Richard Caswell,Jan. 31  1778
George Frost,Josiah Bartlett,Jan. 31  1778
Gouverneur Morris,John Jay,Feb. i 66 1778
John 'Witherspoon,Benjamin Rush,Feb. 2  1778
James Lovell,Benjamin Lincoln,Feb. 2  1778
The Committee of Conference,Minutes,Feb. 2, 3 68 1778

y2,Henry Laurens,John Laurens,Feb. 3  1778

73- Jonathan Bayard Smith,George Bryan,Feb. 3  1778
John Penn,Robert Morris,Feb. 4  1778
The Committee of Conference,Miriutes,Feb. 4, 5 71 1778
James Lovell,Richard Henry Lee,Feb. 5  1778
John Penn,Theodorick Bland,Feb. 6  1778
James Lovell,Samuel Adams,Feb. 6  1778
The Committee of Conference,Minutes,Feb. 6, 7 72, 1778
Henry Laurens,the Marquis de Lafayette,Feb. 7  1778

8r. Elbridge Gerry,Henry Knox,Feb. 7  1778
Elbridge Gerry,Samuel Adams,Feb. 7  1778
James Lovell,John Langdon,Feb. 8  1778
Eliphalet Dyer,Joseph Trumbull,Feb. 8  1778
Henry Laurens,Jonathan Trumbull,Feb. 9  1778
Cornelius Harnett,Richard Caswell,Feb. 10  1778
The Committee of Conference,Minutes,Feb. 10, 11 80 1778
The Committee of Conference,George Washington,Feb. 11  1778
Henry Laurens,Baron de Kalb,Feb. 11  1778
Thomas McKean,George Read,Feb. 12  1778
The Committee of Conference,Minutes,Feb. 12, 13 83 1778
William Ellery,William Churchill Houston,Feb. 13 , 83 1778
James Forbes,Thomas Johnson jr.,Feb. 13  1778
John Henry jr.,to Thomas Johnson jr.,Feb. 14  1778
The Committee of Conference,Minutes,Feb. 14, 16 86 1778
The Committee of Conference,Thomas Johnson jr.,Feb. 16  1778
Daniel Roberdeau,Thomas Wharton jr.,Feb. 17  1778
Eliphalet Dyer,William Williams,Feb. 17  1778
The Committee of Conference,Minutes,Feb. 17, 18 89 1778
Oliver Wolcott,Mrs. Wolcott,Feb. 18  1778

loi. Henry Laurens,Joseph Trumbull,Feb. 19  1778
John Penn,Robert R. Livingston,Feb. 19  1778
Henry Laurens,George Washington,Feb. 19  1778
The Committee of Conference,Minutes,Feb. 19, 20 91 1778
Henry Laurens,Francis Dana,Feb. 20  1778



Tabic of Contents xxxix 1778

PAGE 1778

io6,Henry Laurens,William Heath,Feb. 20  1778
Jonathan Bayard Smith,Joseph Reed,Feb. 21  1778
Daniel Roberdeau,James McLene,Feb. 21  1778
The Commercial Committee,Robert Morris,Feb. 21  1778

no. The Committee of Conference,Minutes,Feb. 22-25 96 1778
Daniel Roberdeau,Thomas Wharton jr.,Feb. 23  1778
Samuel Huntington,Jabez Huntington,Feb. 24  1778
Henry Laurens,Thomas Wliarton jr.,Feb. 24  1778
Henry Laurens,Samuel Alleyne Otis,Feb. 24  1778
Jonathan Bayard Smith,Joseph Reed,Feb. 25  1778
The Committee of Conference,Minutes,Feb. 26-28 loi 1778
Jonathan Bayard Smith,Thomas Wharton jr.,Feb. 28 loi 1778

1 18,Henry Laurens,George Washington,Mar. i loi 1778
Henry Laurens,Francis Dana,Mar. i 102 1778
William Ellery,Nicholas Cooke,IMar. i 103 1778
The Committee of Conference,Minutes,Alar. 1-4 104 1778
John Henry jr.,to Nichola* Thomas,Mar. 2  1778
William Ellery,John Langdon,Mar. 2  1778
Henry Laurens,Francis Dana,Mar. 3  1778
