Samuel Huntington,Jonathan Trumbull jr.,Jan. 3 1780
The Board of War,George Washington,Jan. 3 1780
John Mathews,Thomas Bee,Jan. 5 1780
Samuel Huntington,Jonathan Trumbull,Jan. 6 1780
Elbridge Gerry,William Hunt,Jan. 6 1780
Roger Sherman,Andrew Adams,Jan. 7 1780
Samuel Huntington,Jonathan Trumbull,Jan. 8 1780
A Committee of Congress,George Washington,Jan. 11 1780
Roger Sherman,Jonathan Trumbull,Jan. 11 1780
Samuel Huntington,Jonathan Trumbull,Jan. 12 1780
Elbridge Gerry,George Washington,Jan. 12 1780
John Armstrong,George Washington,Jan. 12 1780
Oliver Ellsworth,Jonathan Trumbull,Jan. 14 1780
Samuel Holten,Diary,Jan. 15 1780
Samuel Huntington,the Several States,Jan. 18 1780
Samuel Huntington,John Lawrence,Jan. 18 1780
The North Carolina Delegates,Richard Caswell,Jan. 21 1780
James Lovell,Samuel Adams,Jan. 21 1780
James Lovell,Samuel Adams,Jan. 21 1780
James Lovell,Horatio Gates,Jan. 22 1780
John Armstrong,Joseph Reed,Jan. 24 1780
Elbridge Gerry,James Warren,Jan. 25 1780
Oliver Ellsworth,Samuel Lyman,Jan. 25 1780
The Connecticut Delegates,Jonathan Trumbull,Jan. 26 1780
Samuel Huntington,George Washington,Jan. 27 1780
Robert R. Livingston,Philip Schuyler,Jan. 27 1780
William Floyd,George Qinton,Jan. 28 1780
James Lovell,Samuel Adams,Jan. 28 1780
Philip Schuyler,Pierre Van Cortlandt and Evert Bancker,Jan. 29 1780
Oliver Ellsworth,Jonathan Trumbull,Jan. 30 1780
Charles Thomson,the Several States,Feb. 1 23 1780
James Lovell,Samuel Adams,Feb. 1 24 1780
Samuel Huntington,George Wythe,Feb. 2 1780
Samuel Holten,Diary,Feb. 2-4 1780
James Lovell,Horatio Gates,Feb. 4 1780
Samuel Huntington,George Washington,Feb. 7 1780
Samuel Huntington,Jonathan Trumbull,Feb. 7 1780
Nathaniel Peabody,Woodbury Langdon,Feb. 7 1780
Oliver Ellsworth,Jonathan Trumbull,Feb. 8 1780
Nathaniel Peabody,Josiah Bartlett,Feb. 8 1780
James Lovell,Samuel Adams,Feb. 8 1780
The North Carolina Delegates,Richard Caswell,Feb. 9 1780
The New York Delegates,George Qinton,Feb. 9 1780
Samuel Huntington,George Washington,Feb. 10 1780
Samuel Huntington,the Several States,Feb. 10 1780
James Lovell,Henry Laurens,Feb. 12 1780
Samuel Huntington,George Walton,Feb. 14 1780
Samuel Huntington,Qement Nash,Feb. 14 1780
The Rhode Island Delegates,William Greene,Feb. 15 1780
The Connecticut Delegates,Jonathan Trumbull,Feb. 15 1780
Elbridge Gerry,Samuel Adams,Feb. 15 1780
John Armstrong,Horatio Gates,Feb. 16 1780
James Lovell,Samuel Adams,Feb. 16 1780
Abraham Qark,Caleb Camp,Feb. 17 1780
Elbridge Gerry,Samuel Huntington,Feb. 19 1780
Samuel Huntington,George Washington,Feb. 22 1780
The Board of War,George Washington,Feb. 22 1780
Ezra L'Hommedieu,George Clinton,Feb. 22 1780
Elbridge Gerry,Samuel Huntington,Feb. 22 1780
Nathaniel Peabody,Meshech Weare,Feb. 22 1780
John Collins,Nathanael Greene,Feb. 22 1780
